_ID, TimeSt,Country,Province,City,Latitude,Longitude,Closest POI,Distance(Km)
4516516,2017-06-21 00:00:00.143,CA,ON,Waterloo,43.49347,-80.49123,POI1 or POI2,1381.9221852654102
4516547,2017-06-21 18:00:00.193,CA,ON,London,42.9399,-81.2709,POI1 or POI2,1458.9191191890732
4516550,2017-06-21 15:00:00.287,CA,ON,Guelph,43.5776,-80.2201,POI1 or POI2,1358.479660116367
4516600,2017-06-21 15:00:00.307,CA,ON,Stratford,43.3716,-80.9773,POI1 or POI2,1423.2716752496337
4516693,2017-06-21 14:00:00.597,CA,ON,Kitchener,43.4381,-80.5099,POI1 or POI2,1384.8820625692276
4516771,2017-06-21 10:00:00.873,CA,ON,Sarnia,42.961,-82.373,POI1 or POI2,1544.4026378876767
4516831,2017-06-21 12:00:00.950,CA,ON,London,43.0091,-81.1765,POI1 or POI2,1449.4135326238948
4516953,2017-06-21 16:00:01.700,CA,ON,Kitchener,43.4278,-80.5135,POI1 or POI2,1385.4453382360343
4517044,2017-06-21 21:00:00.327,CA,ON,Windsor,42.2825,-83.0372,POI1 or POI2,1618.5696991154605
4517081,2017-06-21 22:00:00.753,CA,ON,Windsor,42.24397,-82.98058,POI1 or POI2,1615.5097459847768
4517175,2017-06-21 19:00:01.087,CA,ON,Saint Thomas,42.7792,-81.1927,POI1 or POI2,1457.9032708120687
4517220,2017-06-21 18:00:01.213,CA,ON,Waterloo,43.4634,-80.5201,POI1 or POI2,1384.9916737630215
4517250,2017-06-21 03:00:01.393,CA,ON,Chatham,42.4247,-82.1755,POI1 or POI2,1546.4142054208562
4517303,2017-06-21 03:00:00.287,CA,ON,Windsor,42.2957,-82.9599,POI1 or POI2,1612.0768242453084
4517326,2017-06-21 04:00:00.367,CA,ON,Guelph,43.5425,-80.2676,POI1 or POI2,1363.1203969828143
4517420,2017-06-21 08:00:00.427,CA,ON,Guelph,43.5215,-80.2338,POI1 or POI2,1361.0345789511132
4517466,2017-06-21 03:00:01.157,CA,ON,Waterloo,43.4678,-80.584,POI1 or POI2,1389.8710226568458
4517538,2017-06-21 21:00:01.427,CA,ON,Kitchener,43.4453,-80.4905,POI1 or POI2,1383.1682535302143
4517697,2017-06-21 12:00:01.790,CA,ON,Windsor,42.3262,-82.9084,POI1 or POI2,1606.9940652055323
4517720,2017-06-21 22:00:01.843,CA,ON,Kitchener,43.4397,-80.434,POI1 or POI2,1378.9019076324607
4517809,2017-06-21 17:00:00.030,CA,ON,London,43.0346,-81.2554,POI1 or POI2,1454.8025499148403
4517811,2017-06-21 12:00:00.150,CA,ON,Cambridge,43.4194,-80.3255,POI1 or POI2,1370.9727473176918
4517999,2017-06-21 12:00:00.643,CA,ON,Kitchener,43.4553,-80.4845,POI1 or POI2,1382.4268279914438
4518000,2017-06-21 08:00:00.663,CA,ON,Kitchener,43.4676,-80.4847,POI1 or POI2,1382.1088889545463
4518130,2017-06-21 00:00:01.333,CA,ON,London,43.0004,-81.2343,POI1 or POI2,1454.1954158450703
4518264,2017-06-21 04:00:01.453,CA,ON,Cambridge,43.3842,-80.2968,POI1 or POI2,1369.701999538216
4518395,2017-06-21 08:00:02.080,CA,ON,Windsor,42.2908,-82.987,POI1 or POI2,1614.3625431878727
4518430,2017-06-21 09:00:02.550,CA,ON,Brantford,43.1772,-80.248,POI1 or POI2,1371.8231727932307
4518512,2017-06-21 01:00:02.797,CA,ON,London,42.9611,-81.2431,POI1 or POI2,1456.0910196886107
4518952,2017-06-21 06:00:00.217,CA,ON,Kitchener,43.4193,-80.3826,POI1 or POI2,1375.4409641955424
4519004,2017-06-21 07:00:00.747,CA,ON,Tillsonburg,42.86185,-80.72991,POI1 or POI2,1419.1366123483638
4519038,2017-06-21 07:00:00.803,CA,ON,Windsor,42.2287,-83.0182,POI1 or POI2,1618.9841822510125
4519209,2017-06-21 00:00:01.257,CA,ON,Hanover,44.1517,-81.0266,POI1 or POI2,1407.953692450219
4519287,2017-06-21 10:00:01.360,CA,ON,Kitchener,43.3904,-80.4317,POI1 or POI2,1380.0785796095054
4519555,2017-06-21 22:00:03.890,CA,ON,Waterloo,43.4663,-80.5402,POI1 or POI2,1386.485401250694
4519633,2017-06-21 10:00:04.303,CA,ON,London,42.9699,-81.2081,POI1 or POI2,1453.0852872230264
4519710,2017-06-21 01:00:04.413,CA,ON,Kitchener,43.2994,-80.4496,POI1 or POI2,1384.0346064041535
4519766,2017-06-21 10:00:02.067,CA,ON,Windsor,42.2545,-82.9809,POI1 or POI2,1615.1628472679668
4520085,2017-06-21 17:00:02.433,CA,ON,Windsor,42.2654,-83.0261,POI1 or POI2,1618.3044510258665
4520446,2017-06-21 12:00:04.447,CA,ON,London,43.0061,-81.2962,POI1 or POI2,1458.857750726971
4520587,2017-06-21 01:00:04.767,CA,ON,Chatham,42.3778,-82.1897,POI1 or POI2,1549.145356962066
4520751,2017-06-21 20:00:05.027,CA,ON,London,42.993,-81.169,POI1 or POI2,1449.3203546391858
4520821,2017-06-21 07:00:05.127,CA,ON,Sarnia,42.96866,-82.40455,POI1 or POI2,1546.6357871319788
4521184,2017-06-21 02:00:06.133,CA,ON,London,42.9923,-81.2531,POI1 or POI2,1455.912280821778
4521353,2017-06-21 13:00:06.717,CA,ON,Windsor,42.3159,-83.0311,POI1 or POI2,1616.926264715909
4521574,2017-06-21 00:00:02.637,CA,ON,Brantford,43.1508,-80.2094,POI1 or POI2,1369.590754420018
4521618,2017-06-21 15:00:02.670,CA,ON,Cambridge,43.3653,-80.3066,POI1 or POI2,1370.995279253926
